# Created At: Sun Aug 25 2024 14:56:20 GMT-0400 (Eastern Daylight Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=GRIA1%2CGRIA2%2CGRIA3%2CGRIA4%2CGRIK1%2CGRIK2%2CGRIK3%2CGRIK4%2CGRIK5%2CGRIN1%2CGRIN2A%2CGRIN2B%2CGRIN2C%2CGRIN2D%2CGRIN3A%2CGRIN3B%2CGRID1%2CGRID2&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
bladder organ,aggregated,26544,0.01%,GRIN2D,1.9546809196472168,0.27792707650917403,2
bladder organ,aggregated,26544,,GRIN3A,,,
bladder organ,aggregated,26544,,GRIN3B,,,
bladder organ,aggregated,26544,0.01%,GRID1,1.5756969451904297,0.09192479046980039,2
bladder organ,aggregated,26544,0.03%,GRID2,1.5278582043117948,0.06844592127110839,9
bladder organ,mast cell,1025,,GRIA1,,,
bladder organ,mast cell,1025,,GRIA2,,,
bladder organ,mast cell,1025,,GRIA3,,,
bladder organ,mast cell,1025,,GRIA4,,,
bladder organ,mast cell,1025,,GRIK1,,,
bladder organ,mast cell,1025,,GRIK2,,,
bladder organ,mast cell,1025,,GRIK3,,,
bladder organ,mast cell,1025,,GRIK4,,,
bladder organ,mast cell,1025,0.00%,GRIK5,1.407669186592102,0.009458118199137965,1
bladder organ,mast cell,1025,,GRIN1,,,
bladder organ,mast cell,1025,,GRIN2A,,,
bladder organ,mast cell,1025,,GRIN2B,,,
bladder organ,mast cell,1025,,GRIN2C,,,
bladder organ,mast cell,1025,,GRIN2D,,,
bladder organ,mast cell,1025,,GRIN3A,,,
bladder organ,mast cell,1025,,GRIN3B,,,
bladder organ,mast cell,1025,,GRID1,,,
bladder organ,mast cell,1025,,GRID2,,,
blood,aggregated,4755206,0.05%,GRIA1,1.650318356989261,0.12854837911088346,2456
blood,aggregated,4755206,0.03%,GRIA2,1.6457249922002344,0.12629399262238794,1227
blood,aggregated,4755206,0.08%,GRIA3,1.6799975638781792,0.1431146951064,3696
blood,aggregated,4755206,0.07%,GRIA4,1.6454740400682941,0.12617082733474155,3441
blood,aggregated,4755206,0.19%,GRIK1,1.665979472199698,0.13623472847497634,8941
blood,aggregated,4755206,0.18%,GRIK2,1.6980033063325226,0.15195176866114457,8634
blood,aggregated,4755206,0.04%,GRIK3,1.6482372105285812,0.12752696916914638,1815
blood,aggregated,4755206,0.21%,GRIK4,1.7085983620026788,0.1571517367552788,10079
blood,aggregated,4755206,0.03%,GRIK5,1.648095808207048,0.1274575700472069,1394
blood,aggregated,4755206,0.03%,GRIN1,1.7565603238662524,0.18069108182216406,1629
blood,aggregated,4755206,0.11%,GRIN2A,1.6749818205548925,0.14065300863098826,5028
blood,aggregated,4755206,0.12%,GRIN2B,1.646912807888455,0.1268769630071361,5760
blood,aggregated,4755206,0.06%,GRIN2C,1.6658995663581566,0.13619551133072658,2924
