"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52"
"untreated_4",-0.807063024954442,0.089523546929337,0.00894559177677153,0.00484086962889124,-0.0192196567742638,0.033162090497985,0.0976818995905201,-0.172755460933154,0.0608337281859008,-0.0941339633444027,-0.0762738487006921,-0.0677947354969354,0.0805984232019189,0.0686590205971619,-0.341577426256175,0.0591266862208464,0.0101870590887799,0.0120964599245917,-0.0550077610553956,0.0459623482273262,-0.0169304536899499,0.458556125638666,0.102426518374709,-0.303829982049765,-0.00109570194780613,-0.0565464935230427,0.0744543182512923,0.127198379364212,-0.0249507356999942,0.0127909700752831,0.699078422970913,-0.00285453487424716,-0.0372587619770623,0.0685764276569791,-0.433930542037846,0.0505752316814248,-0.238457753087323,-0.0242954833316277,-0.0202486460374591,0.0687809675351283,0.0421822587666323,0.0753996400251206,-0.225267177722909,-0.0149073222903477,-0.59393572805779,-0.264834598731325,0.373099190975525,-0.189074211933729,-0.61640827240329,-0.560478661152032,0.00482377918176174,0.826870457140066
"untreated_5",-0.810663672639506,0.0944827524422259,0.010357035072661,0.00520998611613713,-0.0221978870583345,0.0383252417095561,0.0986723366135876,-0.181694592997891,0.0658129820472991,-0.10436123213176,-0.0824934075365893,-0.0749167009019172,0.0874010946261068,0.0750979963514372,-0.364348900659907,0.0615380271212383,0.0116835287277581,0.0135256242380918,-0.0587435073417302,0.0484255139564431,-0.0178973797973361,0.46424141706849,0.107915917643006,-0.30224456077656,-0.000891220294563454,-0.0619704415387778,0.0813831478021357,0.136835780456915,-0.0257724211304717,0.0140484531716225,0.322339233493999,-0.00299916442966718,-0.0414823231451262,0.0739531412921893,-0.435426552451821,0.0545375813039033,-0.248049360586402,-0.0269492382310524,-0.022158221688616,0.0734411561118237,0.0466878879319964,0.0786993300184778,-0.225672911235929,-0.0149329416500273,-0.603909516543226,-0.280733498161916,0.403917656333514,-0.211357961398114,-0.639133003039884,-0.564072657028784,0.00571247788138012,0.813222918983715
"A1_Kaplan_12_13_19_S1",1.74972471550678,-0.133562321911164,-0.00417605439712744,0.00128549454220057,0.00298606506962475,0.0251847729173698,0.158095831353003,0.250237300724883,-0.0746481728305745,0.058723029730291,0.100179078924894,-0.0102415192953935,-0.143425672153585,-0.0740601371624786,0.48185176349074,-0.161492461849059,-0.00230924111451271,-0.0126370096794713,0.0801105488619473,-0.0657282180610746,0.0154830484136062,-0.975077227491084,-0.137410412052714,-0.264463472414543,-0.00725722100737403,0.0628185746933976,-0.0916418566455105,-0.0665736690480798,0.0604821856980779,-0.0240956631492226,-1.13707292569785,0.0335688301651648,0.027958949100429,-0.0684220483737318,-0.50624447918826,-0.0625022898304894,-0.279163863694778,0.0300887675944684,0.0258133086405905,-0.0725491066991895,-0.0406992692870869,-0.117418380122604,-0.228066201792951,0.0284443687494498,2.2815857587595,0.41702823998629,-0.86971185175705,-0.231046202397307,0.686302125335795,0.740626957785955,-0.0975171548050816,-1.13576672981318
"B1_Kaplan_12_13_19_S2",1.280000612652,-0.116135798469507,-0.00676915839143559,0.00235403850643948,0.013802485742127,0.0135860436931641,0.18556819487587,0.212787625994147,-0.0671077894402842,0.0671362048483198,0.0959090680652712,0.00197955351575246,-0.12621008579258,-0.0749164333138506,0.427351512625426,-0.151900392532772,-0.00584808757959118,-0.0132630535410909,0.0746184062663362,-0.0557063686483212,0.0130396900130421,-1.04359407815937,-0.127191815164627,0.118079731368648,-0.00109987998868682,0.0591078524786837,-0.0814259673716381,-0.0756579905031608,0.0571561327527561,-0.020076812858591,-1.13706772179325,0.0341221571868263,0.0265206237894935,-0.0650858019636952,-0.51654325050061,-0.0605676187102293,-0.266608259598563,0.028940670778065,0.0236078033803403,-0.0663487347953163,-0.0396264794650167,-0.103955325419905,-0.227939035309343,0.0219082829611181,2.01217952445816,0.365625941738353,-0.809457037175329,-0.224622120816198,0.465193515981918,0.415851997507019,-0.0844184871192037,-1.14291417990365
"C1_Kaplan_12_13_19_S3",0.659497757529091,-0.108211151388554,-0.0174960143295777,0.00180091157052514,0.0444477966326923,-0.0369574304988677,0.143025567591965,0.182056359828937,-0.0770224395894028,0.12768134563809,0.115298420460735,0.0714978392417967,-0.113058406019272,-0.104190889798576,0.434765819860045,-0.130154368668509,-0.0186939682935619,-0.0218444263760499,0.0828752841357581,-0.0492796041327704,0.0137793459133955,-1.10915979602864,-0.149609219992132,0.337577711591815,0.0109869633085297,0.0718709433658444,-0.0890070671563414,-0.150151081492131,0.0540901387041553,-0.0152125660405427,-1.13707294125156,0.030425382746738,0.0431933313857206,-0.0862739550592322,-0.580510887851146,-0.0744365986960784,-0.0945706481085525,0.0378899362433931,0.026580415856878,-0.0780032945635691,-0.0560212030665747,-0.0882515951836986,-0.220520623696507,0.0124723888289978,1.26388516325404,0.344756929994299,-0.756152622706934,-0.227341120861204,-0.121217074712589,1.90025334962444,-0.0512537935229037,-1.23620324351219
"D1_Kaplan_12_13_19_S4",0.831898072469836,-0.121626458321166,-0.0182207058378695,0.000645916013337553,0.042635659070597,-0.0365478097788598,0.17676346729328,0.207913635696786,-0.0861560256325414,0.136283707529012,0.123749495286379,0.0662068420953264,-0.136198935996657,-0.112323614703142,0.485208574524747,-0.142368348001185,-0.0190307708499685,-0.0219089197739559,0.0896910895757292,-0.0536698317655828,0.0150621277532968,-1.04819619050319,-0.154278512894142,-0.0410086871608182,0.00553689986270207,0.0820615450925275,-0.10278809249909,-0.147078761963892,0.0571677528829188,-0.0204201936331928,-1.13707294149637,0.0322013273581282,0.0492949767433492,-0.0940312536919147,-0.566758961909617,-0.0789356370212178,-0.187211314911761,0.042580038310929,0.0303264857511109,-0.0843481235559243,-0.064692945076339,-0.0976536801865918,-0.224551891877042,0.0125514282772631,1.48412979666069,0.38802816730724,-0.875644018734599,-0.229021236836654,0.120673178041134,3.11989210865799,-0.069280752452006,-1.22782800415481
"WT1",1.42475385420874,-0.159739784358932,-0.0133278333954695,-0.0121640043426288,0.0245205548596827,-0.0598308152831422,-0.268974987191532,0.324724112068819,-0.106964161383765,0.155318401955876,0.116828101798146,0.133487527841447,-0.134307010698881,-0.108450253163107,0.592985129394232,-0.0661123468108544,-0.0132487897373266,-0.0135989540052003,0.0869908337160938,-0.0849055650161413,0.0339410855739707,-0.666958038689073,-0.151428430276618,-0.239515565471958,-0.0137744006527985,0.105732752845131,-0.137901198111268,-0.234283631314713,0.0286920309707072,-0.0274655127057305,-1.13707294335861,-0.0176913813854423,0.0780866612489725,-0.128674190603007,2.53785637738391,-0.0801564675735662,-0.280220694732115,0.0390940945165462,0.0371996468226338,-0.127852482752973,-0.078876122349,-0.131441496633552,-0.206971734491903,0.0289444444309186,0.0645298441349926,0.448186409781723,-0.458770712112952,-0.229600248395504,2.34953788617575,-0.150296162481838,0.0161433010404376,-1.14252788813799
"WT2",1.45983497670916,-0.132911638207727,-0.00661752204753859,-0.00738233469824896,0.00971634094998718,-0.0239193122459238,-0.190848790452284,0.269918490638833,-0.0804095595745861,0.0946243942207186,0.0888349946146844,0.0807274160022428,-0.104922748617698,-0.076471110018898,0.479238240993892,-0.073053045723749,-0.00503337438207182,-0.0074370644229357,0.0707949972744871,-0.0707148351889107,0.0261558734191731,-0.741593453798831,-0.130926567672496,-0.249052136132115,-0.011017974220167,0.0741110016847449,-0.100566453481223,-0.166049178173057,0.0324901048108588,-0.0209775442499398,-1.13707294237635,-0.00853578495183533,0.0523898635292151,-0.0963441370360642,2.12284520704889,-0.0614529534045031,-0.266206068595933,0.0264460263564037,0.0273184334586289,-0.0981077277728683,-0.0533017110090252,-0.112400468119622,4.24828307955191,0.0284828951076133,0.200167748671325,0.377207252615741,-0.401483427814056,-0.225469135301739,1.80640023719904,-0.0525393009824159,-0.000509064466035977,-1.16216322189116
"WT3",0.86476168276969,-0.138228092000106,-0.00998484922238129,-0.014180078724929,0.0404501481933777,-0.0950515698969728,-0.472523831290824,0.29603596637962,-0.0928553193685715,0.199724482705097,0.13038434826125,0.165707031615635,-0.0796506964727452,-0.119345546494264,0.527625566338362,-0.0633179920767133,-0.0208928191037136,-0.0138840896628572,0.0812636907102488,-0.0788896509883652,0.0360749311049144,-0.744471418436036,-0.181010818543085,4.17380458359067,0.0290695006151586,0.0794595860771899,-0.103280709947684,-0.299906511723012,0.0312376874923007,-0.00292096581368796,-1.13707294166712,-0.00462371205199708,0.0484214416958092,-0.121283747009069,1.29313400616191,-0.0898215001990285,-0.0743320129600022,0.0266327110215132,0.0297332391690753,-0.132914753780207,-0.0580533954974392,-0.144520222492437,-0.213115817481678,0.0202891215860822,0.00589874089885208,0.391713438869647,-0.284170134740966,-0.211697168536094,0.976220751969636,0.700273601158737,0.0923360419078328,-1.21271735682236
"WT4",1.78205954086069,-0.113784380436952,0.0027992160424386,-0.0021417664825663,-0.0208138951959872,0.0374612365231029,-0.00783274140456977,0.256678224468006,-0.0591294939678688,0.0172651181377559,0.0601941646272257,-0.0131495289880402,-0.114986587292948,-0.0411836774033718,0.410681521745313,-0.108116494071529,0.00801518844596831,0.00663489159041031,0.053586079176486,-0.0611694493945415,0.0213351183522637,-0.738495618932278,-0.088719481982511,-0.237296440162591,-0.0249819380614194,0.0527807518674608,-0.0844225667522539,-0.0449022568458087,0.030113570673395,-0.0267126317010994,-1.1370729446807,0.00514024398311786,0.0309270990354035,-0.0615603064791163,1.4824423290731,-0.0427122416789084,4.23139635199496,0.0165014909707346,0.021998620192693,-0.0683378519527617,-0.0376205056465678,-0.110777292162271,-0.228112557975297,0.0270887150026777,0.369481204806575,0.361818651164199,-0.529080196280385,-0.22134300702344,1.94223414706476,0.0197285306217145,-0.0657756769967399,-1.11238193094576
